
Еженедельные средние потребительские цены (тарифы) на отдельные товары и услуги, рубль, Российская Федерация, Яблоки, кг
;2011;2012;2013;2014;2015;2016;2017;2018;2019;
27 неделя (на 09 июля 2018 года);;;;;;;;112,37;;
28 неделя (на 16 июля 2018 года);;;;;;;;112,2;;
29 неделя (на 23 июля 2018 года);;;;;;;;112,36;;
30 неделя (на 30 июля 2018 года);;;;;;;;112,36;;
31 неделя (на 6 августа 2018 года);;;;;;;;111,26;;
32 неделя (на 13 августа 2018 года);;;;;;;;109,87;;
33 неделя (на 20 августа 2018 года);;;;;;;;107,82;;
34 неделя (на 27 августа 2018 года);;;;;;;;105,53;;
35 неделя (на 3 сентября 2018 года);;;;;;;;102,64;;
36 неделя (на 10 сентября 2018 года);;;;;;;;99,13;;
37 неделя (на 17сентября 2018 года);;;;;;;;96,15;;
38 неделя (на 24 сентября 2018 год);;;;;;;;93,47;;
39 неделя (на 1 октября 2018 года);;;;;;;;90,86;;
40 неделя (на 8 октября 2018 года);;;;;;;;88,9;;
41 неделя (на 15 октября 2018 года);;;;;;;;87,07;;
42 неделя (на 22 октября 2018 года);;;;;;;;85,48;;
43 неделя (на 29 октября 2018 года);;;;;;;;84,29;;
44 неделя (на 5 ноября 2018 года);;;;;;;;83,52;;
45 неделя (на 12 ноября 2018 года);;;;;;;;83,38;;
46 неделя (на 19 ноября 2018 года);;;;;;;;83,08;;
47 неделя (на 26 ноября 2018 года);;;;;;;;83,28;;
48 неделя (на 3 декабря 2018 года);;;;;;;;83,86;;
49 неделя (на 10 декабря 2018 года);;;;;;;;84,15;;
50 неделя (на 17 декабря 2018 года);;;;;;;;84,91;;
51 неделя (на 24 декабря 2018 года);;;;;;;;85,63;;
1 неделя (на 9 января 2019 года);;;;;;;;;87,26;
2 неделя (на 14 января 2019 года);;;;;;;;;87,81;
3 неделя (на 21 января 2019 года);;;;;;;;;88,5;
